N.Topics; Coherence.Score
2; 0.3907183456903562
3; 0.4238812395452835
4; 0.4873768292589835
5; 0.4743250992419371
6; 0.49321422998622894
7; 0.5477729418348424
8; 0.5563360792026605
9; 0.5390741903246672
10; 0.5327399333427149
11; 0.5283679758207627
12; 0.5647738574935186
13; 0.5353310223126401
14; 0.5256953005654444
15; 0.5892362521897366
16; 0.5512436747650751
17; 0.5201604834774586
18; 0.5597479852886742
19; 0.5651149263484916
20; 0.5780788066199767
21; 0.592741725725928
22; 0.5526452552606375
23; 0.5930027144797071
24; 0.5773506380220605
25; 0.5698335189304231
26; 0.5751162261251439
27; 0.605487563194146
28; 0.5867531118094069
29; 0.5701737981390427
